"","LHD","EFm","County","long","lat","group","order","region"
"1","Bear River",14.413497967074,"box elder",-112.173675537109,41.9978065490723,2,30,"utah"
"2","Bear River",14.413497967074,"box elder",-112.150756835938,41.9691581726074,2,31,"utah"
"3","Bear River",14.413497967074,"box elder",-112.133575439453,41.9233207702637,2,32,"utah"
"4","Bear River",14.413497967074,"box elder",-112.087738037109,41.911865234375,2,33,"utah"
"5","Bear River",14.413497967074,"box elder",-112.018981933594,41.8030014038086,2,34,"utah"
"6","Bear River",14.413497967074,"box elder",-112.018981933594,41.7800827026367,2,35,"utah"
"7","Bear River",14.413497967074,"box elder",-112.070541381836,41.722785949707,2,36,"utah"
"8","Bear River",14.413497967074,"box elder",-112.018981933594,41.6196556091309,2,37,"utah"
"9","Bear River",14.413497967074,"box elder",-112.001792907715,41.5623550415039,2,38,"utah"
"10","Bear River",14.413497967074,"box elder",-111.97314453125,41.5451698303223,2,39,"utah"
"11","Bear River",14.413497967074,"box elder",-111.944488525391,41.5508995056152,2,40,"utah"
"12","Bear River",14.413497967074,"box elder",-111.910118103027,41.5279808044434,2,41,"utah"
"13","Bear River",14.413497967074,"box elder",-111.898651123047,41.4936027526855,2,42,"utah"
"14","Bear River",14.413497967074,"box elder",-111.910118103027,41.4592247009277,2,43,"utah"
"15","Bear River",14.413497967074,"box elder",-111.898651123047,41.4305801391602,2,44,"utah"
"16","Bear River",14.413497967074,"box elder",-111.881469726562,41.4133911132812,2,45,"utah"
"17","Bear River",14.413497967074,"box elder",-111.904388427734,41.4076614379883,2,46,"utah"
"18","Bear River",14.413497967074,"box elder",-111.921577453613,41.4133911132812,2,47,"utah"
"19","Bear River",14.413497967074,"box elder",-111.938758850098,41.4305801391602,2,48,"utah"
"20","Bear River",14.413497967074,"box elder",-111.97314453125,41.4248466491699,2,49,"utah"
"21","Bear River",14.413497967074,"box elder",-111.978866577148,41.3847427368164,2,50,"utah"
"22","Bear River",14.413497967074,"box elder",-111.961685180664,41.3675537109375,2,51,"utah"
"23","Bear River",14.413497967074,"box elder",-112.007522583008,41.3560943603516,2,52,"utah"
"24","Bear River",14.413497967074,"box elder",-112.059089660645,41.3389053344727,2,53,"utah"
"25","Bear River",14.413497967074,"box elder",-112.311187744141,41.3331756591797,2,54,"utah"
"26","Bear River",14.413497967074,"box elder",-112.402862548828,41.2013931274414,2,55,"utah"
"27","Bear River",14.413497967074,"box elder",-112.488800048828,41.0868034362793,2,56,"utah"
"28","Bear River",14.413497967074,"box elder",-112.632049560547,41.0524253845215,2,57,"utah"
"29","Bear River",14.413497967074,"box elder",-112.872688293457,41.000862121582,2,58,"utah"
"30","Bear River",14.413497967074,"box elder",-113.462829589844,41.000862121582,2,59,"utah"
"31","Bear River",14.413497967074,"box elder",-113.915466308594,41.000862121582,2,60,"utah"
"32","Bear River",14.413497967074,"box elder",-114.041519165039,41.0065879821777,2,61,"utah"
"33","Bear River",14.413497967074,"box elder",-114.047248840332,42.0035362243652,2,62,"utah"
"34","Bear River",14.413497967074,"box elder",-113.015922546387,41.9978065490723,2,63,"utah"
"35","Bear River",14.413497967074,"box elder",-112.173675537109,41.9978065490723,2,64,"utah"
"36","Bear River",14.413497967074,"cache",-111.881469726562,41.4133911132812,3,66,"utah"
"37","Bear River",14.413497967074,"cache",-111.898651123047,41.4305801391602,3,67,"utah"
